title,type,release_year,listed_in,country,rating,duration,date_added
Stranger Things,Movie,2013,"Action, Comedy",France,PG,144 min,2024-06-29
Money Heist,TV Show,2010,"Mystery, Sci-Fi",USA,TV-14,3 Seasons,2024-12-27
The Irishman,TV Show,2014,Comedy,UK,G,5 Seasons,2025-11-25
Breaking Bad,TV Show,2014,Sci-Fi,Spain,PG,5 Seasons,2022-05-27
The Crown,Movie,2019,"Thriller, Romance",Japan,G,161 min,2022-12-16
Bird Box,Movie,2008,"Comedy, Drama",UK,R,90 min,2023-12-28
Ozark,Movie,2010,Thriller,USA,G,145 min,2024-11-13
The Witcher,TV Show,2000,"Thriller, Horror",Japan,R,3 Seasons,2023-08-05
13 Reasons Why,Movie,2016,"Thriller, Mystery, Crime",Spain,PG,166 min,2024-08-25
Narcos,Movie,2012,"Romance, Comedy",Canada,PG-13,99 min,2023-01-08
The Queen's Gambit,Movie,2001,"Thriller, Drama, Action",France,R,106 min,2023-10-17
Dark,TV Show,2018,"Sci-Fi, Fantasy, Mystery",South Korea,PG-13,5 Seasons,2024-12-22
Lucifer,TV Show,2022,"Crime, Comedy",India,TV-MA,6 Seasons,2022-07-18
The Umbrella Academy,Movie,2010,"Fantasy, Drama, Action",France,R,140 min,2023-10-08
The Haunting,Movie,2015,Crime,Spain,TV-MA,122 min,2022-09-08
Emily in Paris,TV Show,2005,"Comedy, Drama",Germany,PG-13,6 Seasons,2024-03-17
You,Movie,2014,Fantasy,Canada,PG,152 min,2024-03-18
Bridgerton,TV Show,2002,"Crime, Sci-Fi, Drama",Germany,PG,2 Seasons,2025-12-02
Shadow and Bone,TV Show,2019,Horror,USA,TV-14,6 Seasons,2024-07-15
Altered Carbon,TV Show,2023,"Mystery, Comedy, Action",South Korea,TV-14,3 Seasons,2024-11-30
Squid Game,TV Show,2010,"Thriller, Fantasy, Crime",Japan,G,1 Seasons,2022-01-15
The Sandman,TV Show,2007,Drama,Australia,PG,2 Seasons,2023-05-28
Locke & Key,TV Show,2006,Crime,Germany,G,5 Seasons,2022-02-15
Vikings,Movie,2023,"Drama, Action, Comedy",Spain,G,88 min,2022-02-14
Cobra Kai,Movie,2017,"Comedy, Crime, Fantasy",South Korea,TV-MA,136 min,2023-11-24
Black Mirror,Movie,2000,"Drama, Mystery",Japan,G,91 min,2022-06-07
House of Cards,Movie,2016,Thriller,Spain,G,159 min,2024-02-23
Mindhunter,Movie,2008,Comedy,Germany,PG,101 min,2023-07-09
The Office,Movie,2021,Action,USA,R,141 min,2024-12-19
Friends,TV Show,2006,"Fantasy, Horror",Canada,PG,5 Seasons,2025-12-04
How I Met Your Mother,Movie,2007,"Action, Romance, Comedy",France,TV-14,93 min,2022-03-31
Peaky Blinders,Movie,2007,"Action, Crime, Romance",India,PG-13,147 min,2022-12-13
Moneyball,Movie,2008,"Drama, Romance, Action",Australia,PG-13,137 min,2025-06-28
Roma,TV Show,2005,"Horror, Fantasy, Romance",South Korea,TV-14,4 Seasons,2022-10-17
Marriage Story,Movie,2005,"Romance, Sci-Fi",UK,PG,113 min,2022-12-08
The Social Dilemma,Movie,2000,Romance,India,TV-14,102 min,2023-03-20
Enola Holmes,TV Show,2018,"Comedy, Mystery",Canada,R,2 Seasons,2024-06-06
The Midnight Sky,TV Show,2019,"Drama, Crime",Canada,R,3 Seasons,2023-07-26
Extraction,Movie,2012,Comedy,India,TV-MA,145 min,2023-06-15
Project Power,Movie,2007,"Comedy, Thriller",France,PG-13,90 min,2022-06-08
Red Notice,TV Show,2014,"Fantasy, Sci-Fi, Horror",Japan,PG,5 Seasons,2023-03-07
The Old Guard,TV Show,2022,Drama,Germany,R,6 Seasons,2025-10-04
Army of the Dead,Movie,2017,"Thriller, Action",Spain,TV-MA,89 min,2023-06-10
Glass Onion,TV Show,2003,"Mystery, Sci-Fi",India,PG,5 Seasons,2022-07-06
The Gray Man,Movie,2016,Comedy,Australia,PG,90 min,2025-01-20
Luckiest Girl Alive,TV Show,2003,"Romance, Thriller",Germany,R,4 Seasons,2025-08-16
Murder Mystery,Movie,2015,"Sci-Fi, Thriller",India,R,106 min,2024-04-03
The Devil All the Time,Movie,2005,Crime,Australia,PG-13,163 min,2025-01-28
Ratched,Movie,2015,Romance,Germany,R,132 min,2025-01-27
1899,Movie,2012,Romance,Spain,G,88 min,2023-02-20
